date,label,value
"2021-08-27 13:33:54",17100-PE,0.17
"2021-08-27 13:33:54",17150-CE,0.39
"2021-08-27 13:33:54",17150-PE,0.09
"2021-08-27 13:35:51",17100-CE,4.98
"2021-08-27 13:35:51",17100-PE,0.17
"2021-08-27 13:35:51",17150-CE,0.39
"2021-08-27 13:35:51",17150-PE,0.09
"2021-08-27 13:38:32",17100-CE,4.96
"2021-08-27 13:38:32",17100-PE,0.17
"2021-08-27 13:38:32",17150-CE,0.38
"2021-08-27 13:38:32",17150-PE,0.09
"2021-08-27 13:40:34",17100-CE,4.97
"2021-08-27 13:40:34",17100-PE,0.17
"2021-08-27 13:40:34",17150-CE,0.38
"2021-08-27 13:40:34",17150-PE,0.09
"2021-08-27 13:42:32",17100-CE,4.95
"2021-08-27 13:42:32",17100-PE,0.17
"2021-08-27 13:42:32",17150-CE,0.38
"2021-08-27 13:42:32",17150-PE,0.09
"2021-08-27 13:44:27",17100-CE,4.95
"2021-08-27 13:44:27",17100-PE,0.17
"2021-08-27 13:44:27",17150-CE,0.38
"2021-08-27 13:44:27",17150-PE,0.09
"2021-08-27 13:46:28",17100-CE,4.95
"2021-08-27 13:46:28",17100-PE,0.17
"2021-08-27 13:46:28",17150-CE,0.38
"2021-08-27 13:46:28",17150-PE,0.09
"2021-08-27 13:48:52",17100-CE,4.95
"2021-08-27 13:48:52",17100-PE,0.17
"2021-08-27 13:48:52",17150-CE,0.39
"2021-08-27 13:48:52",17150-PE,0.09
"2021-08-27 13:51:55",17100-CE,4.95
"2021-08-27 13:51:55",17100-PE,0.17
"2021-08-27 13:51:55",17150-CE,0.39
"2021-08-27 13:51:55",17150-PE,0.09
"2021-08-27 13:54:23",17100-CE,4.95
"2021-08-27 13:54:23",17100-PE,0.17
"2021-08-27 13:54:23",17150-CE,0.39
"2021-08-27 13:54:23",17150-PE,0.09
"2021-08-27 13:57:03",17100-CE,4.94
"2021-08-27 13:57:03",17100-PE,0.17
"2021-08-27 13:57:03",17150-CE,0.39
"2021-08-27 13:57:03",17150-PE,0.09
"2021-08-27 13:59:02",17100-CE,4.94
"2021-08-27 13:59:02",17100-PE,0.17
"2021-08-27 13:59:02",17150-CE,0.39
"2021-08-27 13:59:02",17150-PE,0.09
"2021-08-27 14:01:07",17100-CE,4.95
"2021-08-27 14:01:07",17100-PE,0.17
"2021-08-27 14:01:07",17150-CE,0.39
"2021-08-27 14:01:07",17150-PE,0.09
"2021-08-27 15:15:08",17100-CE,5.12
"2021-08-27 15:15:08",17100-PE,0.17
"2021-08-27 15:15:08",17150-CE,0.41
"2021-08-27 15:15:08",17150-PE,0.08
"2021-08-27 15:15:54",17100-CE,5.14
"2021-08-27 15:15:54",17100-PE,0.17
"2021-08-27 15:15:54",17150-CE,0.41
"2021-08-27 15:15:54",17150-PE,0.08
"2021-08-27 15:18:34",17100-CE,5.14
"2021-08-27 15:18:34",17100-PE,0.17
"2021-08-27 15:18:34",17150-CE,0.41
"2021-08-27 15:18:34",17150-PE,0.08
"2021-08-27 15:21:07",17100-CE,5.11
"2021-08-27 15:21:07",17100-PE,0.18
"2021-08-27 15:21:07",17150-CE,0.4
"2021-08-27 15:21:07",17150-PE,0.08
"2021-08-27 15:23:37",17100-CE,5.11
"2021-08-27 15:23:37",17100-PE,0.18
"2021-08-27 15:23:37",17150-CE,0.41
"2021-08-27 15:23:37",17150-PE,0.08
"2021-08-27 15:26:21",17100-CE,5.16
"2021-08-27 15:26:21",17100-PE,0.18
"2021-08-27 15:26:21",17150-CE,0.41
"2021-08-27 15:26:21",17150-PE,0.08
"2021-08-27 15:28:52",17100-CE,5.23
"2021-08-27 15:28:52",17100-PE,0.18
"2021-08-27 15:28:52",17150-CE,0.41
"2021-08-27 15:28:52",17150-PE,0.08
"2021-08-27 10:47:54",NIFTY,16666.6
"2021-08-27 10:49:11",NIFTY,16663.3
"2021-08-27 10:50:26",NIFTY,16657.6
"2021-08-27 10:51:43",NIFTY,16653.7
"2021-08-27 10:53:06",NIFTY,16652.9
"2021-08-27 10:54:30",NIFTY,16654.8
"2021-08-27 10:55:58",NIFTY,16660.8
"2021-08-27 10:57:15",NIFTY,16656.5
"2021-08-27 10:58:32",NIFTY,16652.4
"2021-08-27 10:59:50",NIFTY,16650.5
"2021-08-27 11:01:07",NIFTY,16650.7
"2021-08-27 11:02:24",NIFTY,16651.8
"2021-08-27 11:03:41",NIFTY,16652.2
"2021-08-27 11:05:00",NIFTY,16655.6
